AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
285,-822,16344,3,1,0
245,-814,16336,4,0,-1
255,-816,16331,4,-2,-2
263,-823,16347,2,-2,-1
251,-807,16377,4,-1,0
283,-789,16337,2,0,-2
279,-807,16354,3,-1,-2
214,-807,16351,2,0,1
300,-824,16323,-38,-9,1
312,-876,16361,2,-3,-2
260,-841,16365,-1,-3,-1
301,-872,16329,0,-1,-1
308,-873,16311,3,-1,1
272,-756,16357,7,1,0
303,-827,16311,6,-1,1
263,-731,16338,1,-1,-2
290,-820,16319,9,1,-1
296,-802,16337,3,-2,-1
247,-804,16370,8,0,-2
288,-801,16342,3,1,0
259,-826,16323,5,-4,-1
296,-778,16357,3,0,-1
254,-789,16331,3,-3,0
287,-811,16361,4,-2,-2
277,-823,16345,4,-1,0
272,-810,16329,3,1,1
273,-822,16344,3,1,-1
252,-818,16349,4,-1,-1
315,-826,16342,3,-3,1
230,-836,16367,4,-1,-1
297,-783,16350,5,-1,0
263,-841,16346,4,-1,-1
244,-805,16348,1,-1,-1
311,-791,16359,8,-1,-1
205,-787,16359,2,-1,1
258,-813,16350,6,-1,-1
292,-779,16344,3,0,-1
251,-767,16356,4,-1,0
295,-832,16330,2,-1,2
223,-807,16350,3,1,-2
305,-781,16360,6,-1,0
281,-819,16339,2,0,0
241,-786,16336,6,0,0
307,-820,16330,5,-2,0
286,-761,16375,2,-1,-1
274,-805,16381,6,0,1
250,-798,16335,5,-1,-2
255,-764,16358,3,-1,0
262,-809,16330,-3,-1,1
271,-888,16356,-7,-1,2
275,-874,16351,-32,-6,1
292,-870,16360,6,0,-3
235,-829,16341,33,7,-2
282,-787,16366,3,-1,1
265,-839,16334,-2,-1,0
304,-809,16377,8,-1,-1
287,-821,16363,3,-2,-1
258,-826,16348,4,-3,-2
283,-811,16332,5,-1,0
276,-823,16337,2,-1,0
268,-840,16338,2,-1,0
274,-800,16344,5,0,-2
288,-837,16342,1,0,1
274,-893,16330,-53,-11,1
297,-973,16354,3,-2,21
297,-948,16326,3,-1,-5
297,-1008,16318,3,1,0
268,-987,16348,4,0,-1
311,-1010,16324,3,0,-2
319,-1007,16345,4,1,1
253,-996,16354,5,-1,-1
319,-1042,16313,5,-1,-1
281,-957,16362,3,1,1
306,-982,16383,6,0,-1
289,-990,16340,3,-1,0
282,-989,16328,4,-1,-1
298,-971,16371,3,0,-2
273,-996,16341,7,-1,-1
315,-1010,16345,1,-2,-2
290,-985,16370,6,-1,1
302,-1007,16367,4,-1,1
306,-1028,16318,0,-2,-1
272,-1033,16336,4,-2,-2
303,-988,16346,4,-1,-2
306,-988,16326,4,0,-1
283,-1008,16317,3,0,-1
273,-1013,16326,3,0,-1
303,-1022,16312,3,-1,0
287,-958,16334,1,-3,2
322,-999,16375,4,0,-1
298,-970,16355,5,-2,1
279,-1002,16336,3,1,0
282,-1014,16337,2,-1,0
280,-1006,16323,5,-1,3
294,-1033,16365,3,0,-2
289,-988,16371,5,0,1
297,-983,16329,3,-2,0
264,-991,16352,6,-2,0
322,-1037,16335,1,0,-1
257,-907,16335,104,6,-1
285,-878,16422,9,-1,0
298,-848,16357,3,0,0
245,-841,16353,16,1,-1
322,-847,16359,0,-3,-1
259,-876,16325,3,-3,-1
281,-879,16322,3,-2,-1
281,-857,16356,1,-2,2
306,-878,16334,1,1,1
272,-837,16332,6,0,0
283,-857,16335,4,0,0
250,-827,16335,4,0,-1
270,-830,16354,0,0,-2
289,-832,16334,3,0,0
306,-843,16356,3,-2,-2
253,-820,16368,3,1,1
271,-878,16356,0,-2,-1
321,-871,16342,4,-1,1
284,-841,16351,5,1,0
225,-832,16358,4,-1,-4
243,-884,16323,5,0,-1
313,-865,16331,3,-2,0
259,-852,16328,4,-3,2
239,-827,16377,6,-2,-1
253,-857,16354,4,0,-1
303,-855,16356,6,-1,-1
288,-873,16342,3,-2,0
226,-839,16391,2,0,-1
294,-836,16389,2,-1,0
330,-820,16355,0,-1,1
208,-869,16316,3,-2,1
328,-821,16364,5,0,0
259,-863,16332,6,0,-1
282,-854,16329,4,-2,0
310,-841,16316,2,-2,-1
262,-834,16332,8,-1,-1
311,-847,16325,4,-1,-1
278,-816,16325,0,-1,-2
275,-841,16325,4,1,0
275,-840,16346,4,0,0
280,-866,16353,5,-1,1
291,-844,16330,3,-1,1
273,-810,16352,4,-1,-1
290,-848,16329,1,0,0
306,-821,16386,4,1,-1
280,-838,16345,5,0,0
285,-821,16354,3,0,0
223,-850,16371,6,-2,0
297,-828,16351,2,-1,-1
274,-832,16341,3,-1,1
270,-880,16314,2,-1,0
265,-826,16341,5,-2,-1
256,-839,16347,7,-1,2
294,-847,16321,4,-1,1
269,-817,16331,3,-1,0
250,-824,16344,3,-2,0
259,-855,16335,6,-1,1
209,-872,16363,0,-2,-2
359,-817,16330,3,0,0
346,-853,16365,-2,-1,-3
252,-810,16365,-3,0,0
253,-843,16357,1,-1,0
287,-845,16355,2,-1,-1
294,-875,16346,-1,-1,1
325,-837,16347,5,-2,-3
248,-846,16358,1,-1,1
224,-853,16337,2,-1,-2
260,-856,16359,4,-2,1
313,-858,16352,2,-2,-1
304,-846,16359,3,0,0
271,-837,16350,2,-1,0
280,-862,16335,2,0,-1
285,-837,16360,4,-1,1
302,-856,16355,6,1,0
271,-822,16325,5,-1,1
280,-874,16314,2,-1,-2
245,-852,16342,3,-1,0
271,-849,16309,3,0,-2
247,-837,16341,5,-2,0
300,-869,16321,3,1,-3
246,-853,16341,3,-2,-1
325,-845,16328,5,-1,-1
278,-822,16343,4,-2,0
253,-824,16344,3,-1,0
302,-858,16348,6,1,0
242,-876,16325,2,0,-1
302,-863,16364,3,-1,0
250,-829,16341,5,0,0
254,-849,16353,9,0,0
270,-855,16332,4,-2,-1
301,-862,16325,5,-1,2
268,-870,16320,0,-1,-1
255,-853,16319,1,-1,-1
287,-847,16342,4,-2,-1
284,-845,16322,3,0,0
298,-834,16347,3,-1,0
201,-800,16384,2,0,0
365,-852,16360,4,0,0
238,-847,16349,2,-2,-1
283,-828,16355,6,1,0
254,-848,16349,4,0,0
281,-834,16358,3,2,0
238,-846,16349,4,-1,1
253,-836,16353,3,2,0
295,-850,16344,5,0,1
260,-852,16319,6,1,-1
277,-853,16325,6,-2,0
269,-857,16351,3,1,1
255,-865,16339,2,0,1
279,-845,16364,6,0,-1
246,-842,16352,2,-3,0
298,-829,16353,6,0,0
269,-842,16360,5,-1,0
285,-869,16356,4,0,1
310,-848,16355,3,-2,-1
258,-827,16359,2,-3,0
266,-857,16371,6,-1,1
256,-864,16360,2,-2,0
252,-848,16355,5,-1,1
268,-872,16331,-5,-2,-1
270,-867,16367,5,-2,2
297,-864,16348,2,0,1
281,-877,16350,5,-2,0
250,-882,16350,5,0,0
296,-859,16354,3,-1,0
257,-872,16341,3,0,0
271,-874,16339,4,0,-1
270,-881,16341,3,1,1
258,-858,16332,2,-2,-1
249,-880,16335,3,-1,0
266,-866,16354,4,1,0
245,-886,16310,4,-2,-1
259,-879,16328,3,0,-1
289,-868,16343,4,-1,-1
270,-848,16334,3,-1,-1
269,-860,16346,6,0,0
322,-878,16347,5,-1,-1
310,-882,16341,4,-1,-1
284,-857,16330,4,-2,0
257,-869,16339,4,0,-2
285,-887,16324,3,0,-1
216,-863,16341,2,0,0
291,-853,16340,3,-1,-1
300,-856,16322,3,-2,-2
253,-865,16329,6,2,1
291,-862,16340,4,-2,-2
223,-885,16340,6,-1,1
332,-880,16341,3,-2,0
199,-877,16326,3,1,-2
299,-852,16334,6,0,-1
318,-937,16321,0,-3,-1
218,-816,16348,5,-1,-1
227,-809,16375,6,-1,-1
315,-886,16346,3,0,0
272,-855,16345,3,1,-1
266,-853,16357,3,-1,-2
286,-841,16358,5,-2,-2
244,-952,16308,-2,-2,0
244,-818,16369,4,-2,-2
275,-891,16333,4,-2,1
302,-859,16347,3,-1,0
273,-876,16333,4,-1,-1
262,-875,16344,3,0,0
262,-851,16337,5,1,1
263,-841,16348,2,-1,0
264,-848,16341,6,-2,0
278,-813,16352,9,-3,0
279,-849,16346,1,0,1
189,-865,16339,5,-1,-1
293,-819,16358,6,-1,0
273,-858,16342,3,0,0
269,-844,16335,2,0,-1
262,-864,16336,7,0,1
245,-841,16351,3,-1,0
299,-845,16332,3,0,1
260,-890,16333,3,0,0
268,-862,16326,3,0,-1
260,-864,16334,4,-2,0
236,-879,16317,4,0,1
322,-855,16330,3,1,1
295,-866,16338,4,1,0
279,-864,16360,2,-2,0
255,-877,16329,5,-2,-1
271,-857,16358,2,0,0
287,-887,16340,2,0,-1
282,-865,16355,5,-1,0
259,-851,16347,2,0,0
287,-846,16339,4,0,-1
347,-839,16331,3,-2,0
274,-853,16321,5,0,-1
249,-864,16328,7,0,0
263,-869,16318,3,-1,0
232,-861,16305,3,0,0
278,-819,16336,3,-2,-1
263,-865,16329,2,-2,0
302,-876,16313,5,-1,-1
278,-850,16316,4,-1,0
254,-876,16325,3,0,-2
248,-797,16367,1,-2,-1
230,-879,16305,3,-2,-1
324,-850,16333,4,-2,0
284,-860,16341,1,-1,-2
251,-840,16365,2,-2,-1
242,-862,16346,4,1,0
283,-838,16357,4,0,0
255,-883,16342,5,-1,0
250,-838,16356,5,-2,0
247,-858,16349,2,-1,0
272,-835,16371,4,0,-1
275,-863,16352,4,0,0
249,-866,16334,2,-1,-1
289,-873,16342,2,-1,-2
262,-867,16329,3,-1,0
278,-893,16337,4,-2,-1
262,-886,16325,4,-1,-1
262,-891,16356,9,-1,-1
305,-829,16350,3,-1,-1
275,-850,16335,5,0,-1
277,-864,16329,4,-1,0
274,-877,16316,5,-1,-2
296,-815,16349,4,1,-1
261,-869,16320,3,-2,-4
232,-847,16323,4,1,1
295,-860,16328,2,-2,-1
246,-879,16329,2,0,0
247,-868,16350,3,0,-1
276,-857,16332,2,-2,-1
256,-820,16349,2,-1,-1
283,-866,16334,4,-1,0
241,-852,16362,3,-2,0
256,-871,16339,0,-1,1
305,-846,16355,3,-1,0
262,-896,16318,4,-1,-3
195,-875,16355,6,-1,-1
313,-892,16346,-2,-3,0
293,-855,16359,4,-2,0
265,-835,16347,3,-1,1
263,-847,16343,6,-2,0
293,-817,16330,2,-1,1
257,-867,16340,4,-1,-1
297,-849,16330,2,1,-1
278,-866,16356,2,-2,-1
300,-861,16321,2,-1,0
240,-853,16345,4,-1,0
297,-825,16329,4,-1,0
291,-871,16320,6,-1,-1
254,-839,16357,2,1,1
272,-868,16346,5,-1,0
271,-842,16337,4,-1,0
343,-895,16343,4,-1,-1
264,-822,16334,6,0,0
235,-872,16361,6,0,-3
323,-798,16350,1,-2,0
259,-896,16323,6,0,-1
208,-854,16348,3,-3,-1
330,-869,16315,3,-2,2
314,-861,16356,4,-2,0
248,-837,16347,2,0,-2
330,-872,16317,0,-2,0
209,-861,16331,4,-1,1
284,-815,16331,8,-1,-2
295,-823,16333,4,-4,0
238,-841,16324,7,-2,-1
354,-859,16309,4,-2,0
233,-852,16305,3,0,0
345,-882,16316,7,-1,0
223,-846,16324,5,-1,0
333,-871,16312,3,1,-1
226,-860,16294,4,0,-2
284,-836,16334,1,-1,0
267,-849,16296,2,0,1
305,-816,16336,2,-2,-1
269,-858,16320,5,0,-2
288,-825,16283,9,2,-1
282,-810,16330,4,0,0
278,-847,16346,2,-1,0
336,-861,16307,4,-1,0
255,-828,16351,2,0,-1
319,-888,16323,6,0,0
258,-836,16342,4,-2,0
299,-820,16337,4,-1,-1
276,-858,16337,4,0,0
286,-839,16323,3,0,-1
255,-862,16318,1,0,1
251,-819,16375,4,-1,-1
268,-856,16333,0,1,-1
256,-820,16361,6,-1,-1
298,-816,16358,3,-2,-1
270,-827,16376,4,-1,-3
182,-810,16342,4,-1,0
324,-851,16347,5,0,0
241,-888,16331,3,0,0
254,-849,16343,3,-1,-2
327,-833,16348,1,-2,-1
279,-832,16367,1,-2,0
225,-822,16367,3,0,1
280,-793,16379,1,-2,-3
307,-851,16320,7,-1,2
266,-826,16333,6,0,1
280,-833,16344,6,-2,1
309,-830,16338,2,-2,-1
261,-838,16373,5,0,0
314,-820,16353,2,-1,-2
280,-830,16356,5,-3,1
265,-858,16351,2,-1,-1
327,-817,16357,3,0,-1
273,-803,16365,2,-1,-1
323,-823,16367,5,-2,-1
303,-840,16380,6,-1,0
285,-864,16362,0,-2,-1
251,-867,16332,0,-2,-1
287,-863,16333,5,-1,0
214,-841,16343,-1,-1,0
317,-858,16349,6,0,-1
273,-845,16341,3,-1,2
249,-847,16349,5,-1,-1
279,-823,16367,4,-1,-2
291,-825,16383,4,0,1
265,-919,16325,0,-1,-1
246,-856,16362,4,-1,0
298,-847,16347,3,-1,0
303,-911,16338,2,-2,1
223,-865,16364,7,0,0
285,-854,16321,5,0,1
275,-839,16332,5,1,0
267,-830,16359,1,-1,-2
206,-858,16373,4,-1,-1
315,-872,16353,1,-1,-11
